red, röd
green, grön
blue, blå
yellow, gul
purple, lila
orange, orange
pink, rosa
brown, brun
black, svart
white, vit
gray, grå
silver, silver
gold, guld
chin,haka
stomach,mage
chest,bröst
wrist,handled
ankle,vrist
cheek,kind
throat,hals
shoulder,axel
chin,haka
chest,bröst
heart,hjärta
head,huvud
hair,hår
hand,hand
hip,höft
walk, gå
run, springa
eat, äta
sleep, sova
read, läsa
write, skriva
talk, prata
listen, lyssna
study, studera
drive, köra
swim, simma
dance, dansa
sing, sjunga
laugh, skratta
cry, gråta
jump, hoppa
cook, laga mat
clean, städa
think, tänka
